Geo Shape;NUMERO;INTITULE;ADRESSE;CATEGORIE;geo_point_2d
"{""type"": ""Polygon"", ""coordinates"": [[[1.355871526119178, 43.57565894900149], [1.355873670112301, 43.575672681498865], [1.355955340427303, 43.57567384366443], [1.35595695933949, 43.57566016471354], [1.355871526119178, 43.57565894900149]]]}";503098;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5756663583,1.35591437301
"{""type"": ""Polygon"", ""coordinates"": [[[1.347343720819893, 43.56412719689369], [1.34734410665728, 43.56412712138977], [1.347345029963245, 43.56412731465291], [1.347345420141152, 43.564127536299324], [1.347346050771408, 43.564128022463436], [1.347346340239482, 43.564128305687746], [1.347346569491318, 43.56412898416818], [1.347346553664506, 43.564129569115565], [1.347346873727687, 43.564129636713396], [1.347347553130218, 43.564130150583296], [1.347347782382074, 43.56413082906373], [1.347347772642504, 43.564131189031364], [1.347348464420737, 43.56413170307832], [1.34734970190399, 43.56413263905559], [1.347350393195277, 43.5641331711009], [1.347350875846718, 43.56413317800612], [1.347351799396287, 43.56413336227004], [1.347352478798898, 43.5641338761399], [1.347352581414414, 43.564134201704285], [1.347353036879624, 43.56413429824728], [1.347353414681927, 43.56413451971663], [1.347354118348946, 43.56413505193898], [1.347354601000405, 43.564135058844194], [1.347355850943925, 43.56413507672692], [1.347356774493535, 43.56413526099077], [1.347357164671535, 43.56413548263717], [1.347358159267694, 43.56413624408859], [1.347358448735863, 43.564136527312876], [1.347358690363542, 43.56413720597033], [1.347358624589343, 43.564137349072105], [1.347358809737553, 43.564137369726325], [1.347359824299734, 43.564137393244124], [1.347360518068215, 43.5641373761617], [1.347360460085617, 43.56413723128938], [1.347360725860746, 43.56413655989122], [1.347361030668629, 43.564136276166444], [1.347362065440229, 43.564135552751424], [1.347362467305631, 43.56413534243662], [1.347363387732092, 43.564135184554125], [1.347364650051294, 43.564135202613826], [1.347365132702756, 43.564135209518994], [1.347365864614329, 43.564134697835144], [1.347366254104034, 43.564134487343296], [1.347367187149636, 43.56413432063866], [1.347367669801091, 43.56413432754381], [1.347368401469145, 43.56413382485914], [1.347368791202323, 43.564133605368106], [1.347369238918112, 43.56413353074936], [1.347369371683878, 43.56413319954986], [1.347370078113576, 43.564132714509476], [1.347370526072843, 43.56413263089154], [1.347370658595115, 43.56413230869124], [1.34737096340293, 43.56413202496645], [1.347372061270156, 43.564131257440636], [1.347372462892009, 43.564131056125014], [1.347373383805351, 43.56413088024405], [1.34737430686798, 43.56413108250617], [1.347374563877459, 43.56413073507881], [1.347374978160536, 43.56413006580528], [1.347375331052185, 43.564129377648065], [1.347375635171571, 43.56412866178505], [1.347375877412569, 43.56412794503678], [1.347376058018661, 43.56412721840405], [1.347376164370687, 43.564126490708986], [1.347376209087811, 43.56412575312946], [1.347376204545717, 43.56412500584253], [1.34737613763827, 43.564124275668696], [1.347375996476767, 43.564123544432555], [1.347375793436886, 43.56412281231113], [1.34737552778818, 43.564122106302], [1.347375212636774, 43.564121399584664], [1.347374835120027, 43.56412070998041], [1.34737439475097, 43.56412005548766], [1.347373964566233, 43.564119482164685], [1.347373838374626, 43.56411957038604], [1.347372905329265, 43.56411973709075], [1.347372608313057, 43.56411973284145], [1.34737168500712, 43.5641195395785], [1.34737101749321, 43.564119043884205], [1.347370902988917, 43.564118700144405], [1.347370459655983, 43.56411861277772], [1.347369780009905, 43.56411810790715], [1.347369665262136, 43.564117773166515], [1.347369222172697, 43.564117676800635], [1.347368844370441, 43.56411745533136], [1.347367764362166, 43.56411664764465], [1.347367487269722, 43.564116364597474], [1.347367291005458, 43.564115839634475], [1.347366420325484, 43.564115989226], [1.347365170382351, 43.564115971343405], [1.347364247076494, 43.564115778080435], [1.347363579562686, 43.564115282386055], [1.347363338178523, 43.564114594729396], [1.347363347187538, 43.56411426175935], [1.347363479953294, 43.56411393055985], [1.347362480932506, 43.56411379022966], [1.347361480694286, 43.56411369489541], [1.34736046686296, 43.564113644380036], [1.347359451570711, 43.56411364785982], [1.347358435304512, 43.564113687336345], [1.347357591567282, 43.56411375628923], [1.347357683024558, 43.56411403668059], [1.347357417249493, 43.56411470807878], [1.347357112685189, 43.56411498280433], [1.34735644386959, 43.56411545037745], [1.347356054379971, 43.56411566086926], [1.347355121334625, 43.56411582757382], [1.347354638683317, 43.56411582066862], [1.347353906771876, 43.56411633235238], [1.347353517282244, 43.5641165428442], [1.347352584236876, 43.564116709548756], [1.347352101585562, 43.56411670264352], [1.347351369917579, 43.564117205328074], [1.347350980427932, 43.56411741581989], [1.347350520093076, 43.56411749926068], [1.347350399702915, 43.56411783063722], [1.347349693273233, 43.564118315677504], [1.347349245557532, 43.56411839029615], [1.3473491125482, 43.564118730494826], [1.347348808227327, 43.56411899622116], [1.347347722735704, 43.56411976392381], [1.347347320870354, 43.56411997423854], [1.347346562058329, 43.56412010742507], [1.347346791553625, 43.56412077690634], [1.347346767204691, 43.56412167682541], [1.347346501429474, 43.564122348223556], [1.347345807618872, 43.56412282444167], [1.347344874573385, 43.56412299114615], [1.347344429049053, 43.56412298477207], [1.347343961208263, 43.564122888051976], [1.347343809979462, 43.564123444054154], [1.347343666500028, 43.56412417121801], [1.347343572279804, 43.56412490808929], [1.347343552313637, 43.56412564602294], [1.347343606601531, 43.564126385018895], [1.347343710392132, 43.564127124723115], [1.347343720819893, 43.56412719689369]]]}";503338;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5641253002,1.34736035816
"{""type"": ""Polygon"", ""coordinates"": [[[1.348016352351662, 43.56336454184468], [1.348021401639974, 43.563363695783025], [1.348021500455068, 43.56336004211009], [1.348021722910679, 43.563351816846364], [1.348020720020793, 43.56334266478848], [1.34801460606212, 43.56333618545164], [1.348008430490091, 43.56333244204657], [1.348001042024221, 43.56332685375196], [1.347994829495988, 43.563324019087815], [1.34798857969196, 43.56332302043598], [1.347979780700288, 43.56332289459657], [1.347974682249252, 43.5633255584937], [1.34798192248644, 43.56333662729941], [1.347989187308807, 43.563346787185964], [1.347998939782273, 43.563357891919196], [1.348005078323784, 43.563363462338195], [1.348011303306599, 43.56336537890694], [1.348016352351662, 43.56336454184468]]]}";503290;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5633430521,1.348001533
"{""type"": ""Polygon"", ""coordinates"": [[[1.344997618374503, 43.5660610163774], [1.344992333815791, 43.56607007837977], [1.345011999421562, 43.566086808007285], [1.34503078629646, 43.5660889047013], [1.345056157205792, 43.56608013046147], [1.345137009882184, 43.56601823402968], [1.345122257453753, 43.566006148165975], [1.3450908224098, 43.56600660710228], [1.345052741347107, 43.566020681888425], [1.345018187466479, 43.56604394490803], [1.344997618374503, 43.5660610163774]]]}";503630;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5660460149,1.34506104646
"{""type"": ""Polygon"", ""coordinates"": [[[1.344804618324604, 43.56877691321659], [1.344799593420357, 43.568776841220654], [1.344799420019409, 43.56878323963099], [1.344800521532515, 43.568788738036254], [1.344804172751294, 43.56879335470136], [1.344818999685693, 43.56880271384527], [1.344832650969077, 43.56880931033023], [1.344867627292906, 43.56881712161368], [1.344888902825609, 43.568820163241526], [1.344902678005472, 43.568822188139436], [1.344912678316741, 43.56882415895377], [1.344920054667323, 43.56883066552794], [1.344930884353994, 43.56884817781921], [1.344935711247186, 43.56885555713607], [1.344946800595316, 43.568863944443976], [1.344951751373126, 43.568866752181385], [1.34495667727763, 43.56887047783401], [1.34496531617535, 43.56887608422109], [1.345002334617187, 43.56890129085818], [1.345008572446774, 43.56890320776234], [1.345014847402064, 43.56890329765718], [1.34501864690555, 43.56890244281955], [1.345021208864722, 43.5689006519811], [1.345021357613825, 43.56889516248693], [1.345017879750933, 43.56888414741843], [1.345018399398176, 43.56886497018539], [1.345018572776419, 43.568858571774896], [1.345029266118124, 43.56883496693538], [1.345023213805295, 43.56882666079819], [1.344939485936837, 43.56880901342307], [1.344890808813561, 43.56879643251655], [1.344804618324604, 43.56877691321659]]]}";503642;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5688343616,1.3449412286
"{""type"": ""Polygon"", ""coordinates"": [[[1.345805227649435, 43.569512268584674], [1.345781549765829, 43.569412315098184], [1.345768912786363, 43.56941488896045], [1.345752253984853, 43.569426524926726], [1.345752873169038, 43.56945029181523], [1.345780845592867, 43.5695311131288], [1.345789484659663, 43.569536719452955], [1.345805227649435, 43.569512268584674]]]}";503625;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5694711836,1.34577842747
"{""type"": ""Polygon"", ""coordinates"": [[[1.351784983333577, 43.57482853220925], [1.351782717392909, 43.57481935321016], [1.351761784561826, 43.574803525042725], [1.351754295754625, 43.57480159067208], [1.35175303321368, 43.57480157266043], [1.351751783050588, 43.57480155482534], [1.351747933969041, 43.57480423671342], [1.35174785988958, 43.57480698145914], [1.351748974514688, 43.574812479963164], [1.351752614240904, 43.574817096222375], [1.351766094929031, 43.57483009028145], [1.351770997199224, 43.57483472455157], [1.351779760705606, 43.5748357678401], [1.351781072551643, 43.57483395902071], [1.351784983333577, 43.57482853220925]]]}";503178;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5748184676,1.35176667862
"{""type"": ""Polygon"", ""coordinates"": [[[1.351908072598926, 43.57497192651426], [1.351893538644527, 43.57495161631505], [1.351882570369353, 43.574938667114516], [1.351860818889459, 43.57490637047948], [1.351812302739656, 43.57484079641285], [1.351808564400404, 43.5748398338171], [1.351802827639654, 43.57483904977278], [1.35180264196296, 43.574839506258165], [1.351801947822487, 43.57483999150043], [1.351801312179848, 43.57484014447983], [1.351793749289465, 43.57484095485751], [1.351793451735059, 43.57484096861791], [1.351790939029377, 43.57484093277204], [1.351790015790266, 43.57484073054598], [1.351789433068208, 43.57484029910927], [1.351787150909407, 43.574841355870625], [1.351783363509082, 43.574842211105654], [1.35177951418348, 43.57484490199391], [1.351776952173137, 43.57484669297849], [1.351775480260058, 43.574854891382465], [1.351785013268717, 43.57487422098944], [1.35182129861189, 43.57492682784953], [1.351857793604254, 43.574972127551014], [1.351868848106041, 43.57498142291578], [1.351883850544419, 43.57498437372658], [1.351890187813694, 43.57498263659369], [1.351899025416222, 43.574980935127485], [1.351902899274125, 43.574977335319595], [1.351908072598926, 43.57497192651426]]]}";503145;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5749121935,1.35183883028
"{""type"": ""Polygon"", ""coordinates"": [[[1.352998508668905, 43.575505631455535], [1.3529981688806, 43.575505374538224], [1.352997927145285, 43.57550469589521], [1.352997951658195, 43.575503786979375], [1.352998229798811, 43.57550311574735], [1.352998293630417, 43.57550304463627], [1.353000880388046, 43.575500335710025], [1.353001510452196, 43.575499930570906], [1.353002443656042, 43.57549976382142], [1.353002481274757, 43.57549836895056], [1.353001342011426, 43.575493779375805], [1.352998903059556, 43.57549100780949], [1.352996415082056, 43.57549005407481], [1.352823405937408, 43.57547388565481], [1.352698570146187, 43.57544194703039], [1.352696057415252, 43.57544191120421], [1.352692269990413, 43.575442766468846], [1.35268719525072, 43.57544452164689], [1.352684608481544, 43.57544723056617], [1.35268197243421, 43.57545176631616], [1.352683074777193, 43.575457264633414], [1.352683000981711, 43.57546000037996], [1.352685439675261, 43.57546278095213], [1.352687878611779, 43.57546555252511], [1.352697855501837, 43.575468440575975], [1.352704044966343, 43.575472183890994], [1.352708971876439, 43.575475909204485], [1.35272017442939, 43.57547972399391], [1.352740128460876, 43.57548549109002], [1.352748929214524, 43.57548561656635], [1.352755204857444, 43.57548570604061], [1.352765255788551, 43.5754858493399], [1.35277279398691, 43.57548595681382], [1.352777807314316, 43.57548693755507], [1.352784033682508, 43.57548885385856], [1.352800200053677, 43.57549548521094], [1.352807688979084, 43.575497419513326], [1.352817666122742, 43.575500298554665], [1.352825130291082, 43.57550315077091], [1.352832643976313, 43.5755041671567], [1.352837644685451, 43.57550515671808], [1.352855233820854, 43.57550540747871], [1.35289790102164, 43.57550784328853], [1.352960719366681, 43.575508738817234], [1.352987084748075, 43.57551002393317], [1.352994672218431, 43.57550830456176], [1.352998508668905, 43.575505631455535]]]}";503143;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.575483137,1.35283378499
"{""type"": ""Polygon"", ""coordinates"": [[[1.355137933144362, 43.57559549995804], [1.355136621381383, 43.57559730881508], [1.355137785530587, 43.57560098045316], [1.35514403646546, 43.575601987713135], [1.355160375457739, 43.57560222032451], [1.355171676594136, 43.57560238121269], [1.355198140468053, 43.575600012160635], [1.355203190425999, 43.57559917478787], [1.355206978067751, 43.575598310441784], [1.35520833903115, 43.57559467475224], [1.355205924697567, 43.57559098531714], [1.355194684868302, 43.57558808850807], [1.355188433934017, 43.57558708125085], [1.3551745829611, 43.57558780233124], [1.355149357168882, 43.575591098268724], [1.355137933144362, 43.57559549995804]]]}";503137;BASE DE LOISIRS LA RAMEE;LA RAMEE;ENA - Espaces naturels aménagé;43.5755953387,1.35517334404
